syllable,onset,rhyme,n,pole_1,pole_2,pole_3,parallel_1,parallel_2,parallel_3,neighbors,example_words
t͡ɕʰiɑŋ,t͡ɕʰ,iɑŋ,5,震卦-static,艮卦-static,坎卦-static,艮卦-static + 震卦-static,震卦-static,艮卦-static,gun shoot weapon fight fire wall torch strong,開槍(shoot) 強(strong) 強製(compulsory) 槍(gun) 墻(wall)
ɕiɑŋ,ɕ,iɑŋ,46,兌卦-dynamic,震卦-dynamic,震卦-static,震卦-static + 兌卦-dynamic,震卦-dynamic + 離卦-static,震卦-static + 震卦-dynamic,like just imagine right candle thing picture think,想(think) 好像(seem) 長得像(like) 享受(enjoy) 相信(believe) 想像(imagine) 想像(imagine) 影響(affect) 分享(share) 想念(miss) 香(fragrant) 大象(elephant)
iɑŋ,∅,iɑŋ,17,乾卦-static,坎卦-static,震卦-static,坎卦-static + 乾卦-static,乾卦-static,艮卦-static + 乾卦-static,cabbage almond onion sunflower avocado corn mushroom cashew,養育(rear) 羊(sheep) 羔羊(lamb) 山羊(goat) 楊桃(starfruit) 洋蔥(onion) 洋甘菊(chamomile) 楊樹(aspen) 羊乳酪(feta) 羊角面包(croissant) 癢(itch) 太陽(sun)
liɑʊ,l,iɑʊ,7,巽卦-dynamic,坤卦-static,兌卦-static,坤卦-static + 巽卦-dynamic,巽卦-dynamic + 兌卦-static,巽卦-dynamic + 中卦-static,plastic wax metal soap material hang foam cloth,聊天(chat) 無聊(boring) 飲料(beverage) 材料(material) 塑料(plastic) 鐐銬(shackle) 顏料(paint)
miɑʊ,m,iɑʊ,4,坤卦-dynamic,坤卦-static,坎卦-static,坤卦-dynamic + 坎卦-static,坤卦-static + 坤卦-dynamic,坤卦-static + 坎卦-static,scan scanner copy screen blink check hour printer,掃描(scan) 秒(second) 掃描器(scanner) 寺廟(temple)
niɑʊ,n,iɑʊ,6,坤卦-dynamic,乾卦-static,兌卦-static,坤卦-dynamic,坤卦-dynamic + 乾卦-static,坤卦-dynamic + 兌卦-static,bird frog hummingbird flamingo dragonfly parrot tortoise giraffe,鳥(bird) 蜂鳥(hummingbird) 啄木鳥(woodpecker) 鴕鳥(ostrich) 火烈鳥(flamingo) 尿(urine)
piɑʊ,p,iɑʊ,9,震卦-static,艮卦-static,坤卦-static,震卦-static,艮卦-static + 震卦-static,坤卦-static + 震卦-static,chart second level example table top point first,表哥(cousin) 列表(list) 表格(table) 圖表(chart) 表現(performance) 目標(goal) 標準(standard) 保鏢(bodyguard) 表面(surface)
pʰiɑʊ,pʰ,iɑʊ,3,艮卦-static,離卦-dynamic,坤卦-dynamic,艮卦-static,艮卦-static + 離卦-dynamic,坤卦-dynamic + 艮卦-static,stamp ticket card ladybug postcard coin butterfly gift,瓢蟲(ladybug) 票(ticket) 郵票(stamp)
tʰiɑʊ,tʰ,iɑʊ,7,艮卦-dynamic,震卦-dynamic,兌卦-dynamic,艮卦-dynamic,艮卦-dynamic + 震卦-static,艮卦-dynamic + 震卦-dynamic,jump ball swing dance tennis roll hoop wave,跳(jump) 跳舞(dance) 挑戰(challenge) 枝條(twig) 面條(noodle) 空調(air conditioner) 條紋(stripe)
t͡ɕiɑʊ,t͡ɕ,iɑʊ,27,離卦-static,兌卦-dynamic,坎卦-dynamic,離卦-static + 兌卦-dynamic,坎卦-static + 兌卦-dynamic,坎卦-dynamic + 離卦-static,hear speak symphony listen scream whistle sound trumpet,教(teach) 咀嚼(chew) 吠叫(bark) 嗥叫(howl) 呼叫(call) 尖叫(scream) 鳴叫(chirp) 比較(compare) 驕傲(proud) 香蕉(banana) 酵母(yeast) 胡椒(pepper)
t͡ɕʰiɑʊ,t͡ɕʰ,iɑʊ,7,艮卦-dynamic,離卦-static,坎卦-static,艮卦-dynamic + 離卦-static,艮卦-dynamic + 坎卦-static,震卦-dynamic + 離卦-static,seesaw triangle cube cliff bridge paradox landslide doughnut,貝殼(shell) 巧克力(chocolate) 蹺蹺板(seesaw) 蹺蹺板(seesaw) 巧合(coincidence) 橋(bridge) 地殼(crust)
ɕiɑʊ,ɕ,iɑʊ,24,坤卦-dynamic,艮卦-dynamic,坤卦-static,坤卦-dynamic + 艮卦-dynamic,坤卦-dynamic + 震卦-dynamic,坤卦-dynamic,person day boy plane morning hour short minute,笑(laugh) 微笑(smile) 消失(disappear) 小(small) 矮小(short) 好笑(funny) 膽小(timid) 消極(negative) 小舅子(brother-in-law) 小麥(wheat) 小吃(snack) 小路(path)
iɑʊ,∅,iɑʊ,15,震卦-dynamic,兌卦-dynamic,離卦-dynamic,震卦-dynamic + 離卦-dynamic,坎卦-dynamic + 震卦-dynamic,震卦-static + 兌卦-dynamic,stick take get shake want give need right,咬(bite) 閃耀(shine) 要(want) 搖蕩(swing) 搖動(shake) 舀(scoop) 重要(important) 必要(necessary) 腰果(cashew) 腰(waist) 藥品(medicine) 毒藥(poison)
liɛ,l,iɛ,4,離卦-dynamic,艮卦-dynamic,震卦-dynamic,艮卦-dynamic + 離卦-dynamic,離卦-dynamic,離卦-dynamic + 乾卦-static,leopard zebra cheetah hunt tiger giraffe reptile lion,打獵(hunt) 獵豹(cheetah) 火烈鳥(flamingo) 列表(list)
piɛ,p,iɛ,2,坎卦-static,坎卦-dynamic,震卦-static,坎卦-static,坎卦-static + 坎卦-dynamic,坎卦-static + 中卦-dynamic,gender pin triangle pattern tie bias element pivot,別針(pin) 性別(gender)
tiɛ,t,iɛ,3,坎卦-static,離卦-static,坎卦-dynamic,艮卦-static + 坎卦-static,艮卦-static + 離卦-static,坎卦-static + 坎卦-dynamic,butterfly fold dish egg petal plate yolk triangle,折疊(fold) 蝴蝶(butterfly) 碟子(dish)
tʰiɛ,tʰ,iɛ,3,坎卦-dynamic,離卦-dynamic,巽卦-dynamic,坎卦-dynamic,坎卦-dynamic + 離卦-dynamic,坎卦-dynamic + 巽卦-dynamic,iron paste magnet metal ceramic copper wax tool,粘貼(paste) 铁(iron) 磁鐵(magnet)
t͡ɕiɛ,t͡ɕ,iɛ,33,離卦-dynamic,坎卦-dynamic,艮卦-dynamic,坎卦-static + 離卦-dynamic,艮卦-dynamic + 離卦-dynamic,離卦-dynamic,decide explain shape make meet how arrange understand,接近(approach) 結巴(stutter) 連接(connect) 結束(finish) 凍結(freeze) 結婚(marry) 接受(accept) 借入(borrow) 借出(lend) 解釋(explain) 理解(understand) 節儉(thrifty)
t͡ɕʰiɛ,t͡ɕʰ,iɛ,5,坎卦-dynamic,兌卦-dynamic,離卦-dynamic,坎卦-dynamic,坎卦-dynamic + 兌卦-dynamic,坎卦-dynamic + 離卦-dynamic,tomato eggplant spinach broccoli onion cabbage avocado cauliflower,偷竊(steal) 切割(cut) 番茄(tomato) 番茄醬(ketchup) 茄子(eggplant)
ɕiɛ,ɕ,iɛ,11,兌卦-dynamic,離卦-dynamic,坎卦-dynamic,中卦-dynamic + 兌卦-dynamic,離卦-dynamic + 兌卦-dynamic,艮卦-static + 兌卦-dynamic,find may seem can avoid even use also,寫(write) 攜帶(carry) 威脅(threaten) 泄漏(leak) 斜(slanted) 一些(some) 螃蟹(crab) 蠍(scorpion) 鞋(shoe) 機械(mechanic) 有些(somewhat)
iɛ,∅,iɛ,10,震卦-static,乾卦-static,坎卦-static,震卦-static + 乾卦-static,坎卦-static + 乾卦-static,艮卦-static + 乾卦-static,field source line blood armpit chart where construction_site,葉子(leaf) 血液(blood) 液體(fluid) 腋窩(armpit) 田野(field) 夜晚(night) 頁(page) 農業(agriculture) 行業(industry) 也(also)
liɛn,l,iɛn,14,兌卦-dynamic,艮卦-dynamic,震卦-dynamic,坎卦-static + 兌卦-dynamic,艮卦-dynamic + 兌卦-dynamic,艮卦-dynamic + 坎卦-static,lotus palm palm_tree banyan arm bracelet limb wrist,連接(connect) 憐憫(pity) 訓練(train) 練習(practise) 榴蓮(durian) 蓮花(lotus) 銀蓮花(anemone) 臉(face) 臉頰(cheek) 鏈(chain) 鐮刀(sickle) 窗簾(curtain)
miɛn,m,iɛn,22,艮卦-static,震卦-static,坎卦-static,艮卦-static + 坎卦-static,艮卦-static + 震卦-static,坎卦-static + 震卦-static,outside front top behind inside out bottom around,避免(avoid) 見面(meet) 面團(dough) 面包(bread) 面條(noodle) 羊角面包(croissant) 麵粉(flour) 棉布(cotton) 海綿(sponge) 面紗(veil) 表面(surface) 地面(ground)
niɛn,n,iɛn,9,離卦-dynamic,震卦-dynamic,兌卦-dynamic,艮卦-static + 離卦-dynamic,震卦-static + 兌卦-dynamic,艮卦-static + 兌卦-dynamic,clay year hard first chance scratch pencil stick,粘(stick) 粘貼(paste) 想念(miss) 年輕(young) 年(year) 年齡(age) 黏土(clay) 軟墊(cushion) 紀念碑(monument)
piɛn,p,iɛn,9,震卦-static,震卦-dynamic,艮卦-dynamic,艮卦-dynamic + 震卦-static,震卦-static + 震卦-dynamic,坤卦-dynamic + 震卦-static,right down corner stick back left move edge,改變(change) 編輯(edit) 便宜(cheap) 蝙蝠(bat) 鞭子(whip) 邊緣(edge) 左邊(left) 右邊(right) 旁邊(beside)
pʰiɛn,pʰ,iɛn,9,艮卦-static,震卦-static,兌卦-static,艮卦-static,艮卦-static + 中卦-static,艮卦-static + 兌卦-static,picture photograph image card postcard lens mirror stamp,欺騙(deceive) 卡片(card) 明信片(postcard) 圖片(picture) 照片(photograph) 芯片(chip) 偏愛(preference) 偏見(bias) 鏡片(lens)
tiɛn,t,iɛn,15,坤卦-dynamic,坤卦-static,震卦-static,坤卦-dynamic,坤卦-static + 坤卦-dynamic,坤卦-dynamic + 震卦-static,telephone computer laptop television elevator radio printer hotel,閃電(lightning) 字典(dictionary) 電話(telephone) 電視(television) 電腦(computer) 筆記本電腦(laptop) 古典音樂(classical music) 斑點(spot) 電梯(elevator) 店鋪(shop) 酒店(hotel) 電工(electrician)
tʰiɛn,tʰ,iɛn,20,艮卦-dynamic,坤卦-dynamic,乾卦-dynamic,坤卦-dynamic + 艮卦-dynamic,艮卦-dynamic + 乾卦-dynamic,坤卦-dynamic + 震卦-dynamic,autumn tomorrow summer morning moon october spring today,聊天(chat) 甜(sweet) 天鵝(swan) 天竺葵(geranium) 天空(sky) 田野(field) 天(day) 今天(today) 昨天(yesterday) 明天(tomorrow) 春天(spring) 夏天(summer)
t͡ɕiɛn,t͡ɕ,iɛn,27,震卦-static,坎卦-static,坤卦-dynamic,坤卦-dynamic + 震卦-static,坤卦-dynamic + 坎卦-static,坎卦-static + 震卦-static,living_room office middle room library school center building_block,減少(decrease) 尖叫(scream) 建造(build) 檢查(check) 尖銳(sharp) 健康(healthy) 節儉(thrifty) 健全(sane) 劍蘭(gladiolus) 堅果(nut) 肩膀(shoulder) 箭(arrow)
t͡ɕʰiɛn,t͡ɕʰ,iɛn,13,震卦-dynamic,艮卦-dynamic,艮卦-static,艮卦-dynamic + 震卦-dynamic,艮卦-static + 震卦-dynamic,艮卦-static + 艮卦-dynamic,next back catch end time before chance down,打哈欠(yawn) 欠(owe) 潛水(dive) 簽署(sign) 淺(shallow) 千(thousand) 千足蟲(millipede) 秋千(swing) 錢(money) 向前(forward) 在前面(before) 前面(front)
ɕiɛn,ɕ,iɛn,24,坎卦-dynamic,艮卦-dynamic,坤卦-dynamic,坤卦-dynamic + 坎卦-dynamic,坤卦-static + 艮卦-dynamic,坤卦-static + 坎卦-dynamic,leaf this one thing vine long flower daisy,看見(see) 見面(meet) 鹹(salty) 常見(common) 危險(dangerous) 新鮮(fresh) 空閑(idle) 水仙(daffodil) 仙人掌(cactus) 苔蘚(moss) 胰腺(pancreas) 陷阱(trap)
iɛn,∅,iɛn,21,艮卦-static,中卦-static,巽卦-dynamic,艮卦-static + 中卦-static,艮卦-static,艮卦-static + 巽卦-dynamic,optician paint pencil eye eyebrow eyeglasses brush photograph,眨眼(blink) 嚴格(strict) 嚴肅(serious) 顏色(color) 燕子(barn swallow) 飛燕草(delphinium) 眼睛(eye) 眼皮(eyelid) 眼淚(tear) 鹽(salt) 煙(smoke) 煙囪(chimney)
liɤʊ,l,iɤʊ,13,坎卦-dynamic,兌卦-dynamic,離卦-dynamic,坤卦-dynamic + 坎卦-dynamic,坤卦-dynamic + 離卦-dynamic,坤卦-dynamic + 兌卦-dynamic,july october june autumn sunday break november september,停留(stay) 保留(keep) 留(leave) 流(flow) 六(six) 榴蓮(durian) 石榴(pomegranate) 柳(willow) 周六(saturday) 六月(june) 手榴彈(grenade) 流行音樂(pop music)
niɤʊ,n,iɤʊ,7,乾卦-static,兌卦-dynamic,中卦-static,乾卦-static,兌卦-dynamic + 乾卦-static,震卦-dynamic + 乾卦-static,butter carrot yogurt rice cow milk goat pistachio,奶牛(cow) 犀牛(rhinoceros) 蝸牛(snail) 牛油果(avocado) 牛奶(milk) 牛油(butter) 紐扣(button)
t͡ɕiɤʊ,t͡ɕ,iɤʊ,15,震卦-dynamic,坤卦-static,兌卦-dynamic,震卦-dynamic,坤卦-static + 震卦-dynamic,震卦-dynamic + 兌卦-dynamic,whiskey beer champagne wine vodka tequila drink cocktail,舊(old) 九(nine) 小舅子(brother-in-law) 斑鳩(turtledove) 葡萄酒(wine) 啤酒(beer) 香檳酒(champagne) 威士忌酒(whiskey) 龍舌蘭酒(tequila) 雞尾酒(cocktail) 九月(september) 臼(mortar)
t͡ɕʰiɤʊ,t͡ɕʰ,iɤʊ,16,艮卦-dynamic,震卦-static,震卦-dynamic,艮卦-dynamic + 震卦-static,艮卦-dynamic,艮卦-static + 艮卦-dynamic,tennis volleyball basketball football badminton baseball table_tennis ball,烏龜(tortoise) 海龜(turtle) 繡球(hydrangea) 丘(hill) 秋天(autumn) 氣球(balloon) 秋千(swing) 籃球(basketball) 足球(football) 棒球(baseball) 排球(volleyball) 羽毛球(badminton)
ɕiɤʊ,ɕ,iɤʊ,2,巽卦-dynamic,震卦-dynamic,離卦-dynamic,巽卦-dynamic,巽卦-dynamic + 震卦-dynamic,艮卦-dynamic + 巽卦-dynamic,fix hydrangea peony camellia delphinium tulip flower dahlia,修理(fix) 繡球(hydrangea)
iɤʊ,∅,iɤʊ,25,坤卦-static,乾卦-static,坎卦-static,坤卦-static + 震卦-dynamic,坤卦-static + 乾卦-static,坤卦-static + 坎卦-static,just even not like only but always really,有(have) 擁有(own) 遊(swim) 漫遊(roam) 有趣(interesting) 稀有(rare) 有罪(guilty) 富有(rich) 有能力(able) 所有(whole) 牛油果(avocado) 油(oil)
t͡ɕʰiʊŋ,t͡ɕʰ,iʊŋ,1,中卦-static,坤卦-static,坤卦-dynamic,坤卦-dynamic + 中卦-static,坤卦-static + 中卦-static,中卦-static + 乾卦-static,poor weak bad sad sick deaf dumb pity,貧窮(poor)
ɕiʊŋ,ɕ,iʊŋ,7,艮卦-static,坎卦-static,震卦-static,艮卦-static + 坎卦-static,艮卦-static + 震卦-static,艮卦-static,bear polar_bear panda baby wolf otter boy giraffe,兄弟(brother) 兄弟姐妹(siblings) 熊貓(panda) 熊(bear) 北極熊(polar bear) 胸(breast) 胸(chest)
fu,f,u,41,兌卦-dynamic,離卦-dynamic,艮卦-static,離卦-dynamic + 兌卦-dynamic,兌卦-dynamic,離卦-dynamic,husband wife mother father grandmother person aunt uncle,重復(repeat) 支付(pay) 伏(stoop) 服從(obey) 浮(float) 覆蓋(cover) 輻射(radiate) 浪費(waste) 復印(copy) 復習(review) 服務(serve) 腐爛(rotten)
ku,k,u,16,坎卦-static,震卦-static,離卦-static,坎卦-static + 中卦-dynamic,中卦-dynamic + 震卦-static,坎卦-static + 震卦-static,bone organ marrow rib goat farm kidney barn_swallow,咕噥(mumble) 照顧(take care of) 孤獨(lonely) 蘑菇(mushroom) 骨(bone) 肋骨(rib) 骨骼(skeleton) 骨髓(marrow) 谷物(cereal) 谷(valley) 箍(hoop) 古典音樂(classical music)
kʰu,kʰ,u,5,巽卦-dynamic,艮卦-dynamic,兌卦-dynamic,艮卦-dynamic + 巽卦-dynamic,巽卦-dynamic + 兌卦-dynamic,艮卦-dynamic + 兌卦-dynamic,cry suffer endure scream laugh regret tear hate,哭(cry) 受苦(suffer) 苦(bitter) 車庫(garage) 褲子(pants)
lu,l,u,11,坤卦-dynamic,艮卦-dynamic,艮卦-static,坤卦-dynamic + 艮卦-dynamic,坤卦-dynamic + 艮卦-static,坤卦-dynamic,bird sparrow egret frog oriole swan pelican crow,記錄(record) 長頸鹿(giraffe) 鸕鶿(cormorant) 鷺(egret) 葫蘆(gourd) 蘆葦(reed) 露水(dew) 路(road) 小路(path) 微波爐(microwave) 布魯斯(blues)
mu,m,u,25,坤卦-dynamic,坎卦-static,震卦-static,坤卦-dynamic + 坎卦-static,坤卦-dynamic + 震卦-static,坤卦-dynamic + 離卦-dynamic,parent grandmother mother child grandson grandfather son father,沐浴(bathe) 母親(mother) 父母(parents) 父母(parent) 祖母(grandmother) 嶽母(mother-in-law) 啄木鳥(woodpecker) 牡蠣(oyster) 灌木叢(bush) 牡丹(peony) 酵母(yeast) 拇指(thumb)
nu,n,u,2,乾卦-dynamic,兌卦-dynamic,離卦-dynamic,兌卦-dynamic + 乾卦-dynamic,巽卦-dynamic + 乾卦-dynamic,離卦-dynamic + 乾卦-dynamic,effort angry brave pity help support feedback enough,憤怒(angry) 努力(effort)
pu,p,u,21,艮卦-static,震卦-static,坤卦-static,坤卦-static + 艮卦-static,艮卦-static + 乾卦-static,坤卦-static + 震卦-dynamic,this even not only that still one because,捕捉(catch) 宣布(announce) 不在場(absent) 不是(not) 不(no) 全部(all) 部分(part) 哺乳動物(mammal) 布丁(pudding) 腹部(belly) 瀑布(waterfall) 棉布(cotton)
pʰu,pʰ,u,3,乾卦-static,離卦-dynamic,坤卦-dynamic,乾卦-static,離卦-dynamic,離卦-dynamic + 乾卦-static,shop wine merchant servant store cashier waiter coffee,葡萄酒(wine) 僕人(servant) 店鋪(shop)
su,s,u,8,中卦-static,艮卦-static,震卦-static,艮卦-static + 中卦-static,艮卦-static + 中卦-dynamic,中卦-static + 震卦-static,acceleration speed velocity magnitude collision gravity displacement lightning,嚴肅(serious) 罌粟(poppy) 馬蘇裏拉奶酪(mozzarella) 元素(element) 塑料(plastic) 速率(speed) 速度(velocity) 加速度(acceleration)
tu,t,u,14,坎卦-static,中卦-static,震卦-static,艮卦-dynamic + 中卦-static,中卦-static + 震卦-static,艮卦-static + 中卦-static,velocity width density length frequency distance amplitude peak,讀(read) 嫉妒(jealous) 獨立(independent) 孤獨(lonely) 病毒(virus) 杜鵑(azelea) 肚臍(navel) 毒藥(poison) 長度(length) 寬度(width) 高度(height) 密度(density)
tʰu,tʰ,u,19,震卦-static,坤卦-static,坎卦-static,坤卦-static + 震卦-static,中卦-static + 震卦-static,坤卦-static + 坎卦-static,map picture image paper rectangle paste cube copy,吐(spit) 嘔吐(vomit) 光禿禿(bare) 光禿禿(bare) 兔子(rabbit) 土豆(potato) 泥土(earth) 土地(land) 黏土(clay) 圖片(picture) 地圖(map) 圖表(chart)
t͡su,t͡s,u,9,兌卦-dynamic,離卦-dynamic,坎卦-static,坎卦-static + 兌卦-dynamic,兌卦-dynamic,坎卦-static + 震卦-dynamic,person people child country grandfather grandmother basketball woman,租(rent) 阻礙(obstruct) 足夠(enough) 民族(people) 祖父(grandfather) 祖母(grandmother) 千足蟲(millipede) 足球(football) 種族(race)
t͡sʰu,t͡sʰ,u,3,中卦-static,坤卦-static,中卦-dynamic,中卦-static,坤卦-static + 中卦-static,中卦-static + 震卦-static,thick rough dry wet hard thin smooth brown,粗糙(rough) 粗(thick) 醋(vinegar)
xu,x,u,19,坎卦-dynamic,兌卦-dynamic,坤卦-dynamic,坤卦-dynamic + 坎卦-dynamic,坤卦-dynamic + 兌卦-dynamic,坤卦-dynamic + 離卦-dynamic,parrot frog bird turtle tiger crow firefly snake,呼吸(breathe) 忽略(ignore) 保護(protect) 呼叫(call) 呼喊(shout) 模糊(blurry) 老虎(tiger) 狐貍(fox) 珊瑚(coral) 蝴蝶(butterfly) 葫蘆(gourd) 胡椒(pepper)
ɻu,ɻ,u,8,兌卦-dynamic,離卦-dynamic,坎卦-dynamic,離卦-dynamic + 兌卦-dynamic,兌卦-dynamic,兌卦-dynamic + 乾卦-static,if it be_used_to be do can so that,插入(insert) 借入(borrow) 如何(how) 哺乳動物(mammal) 蠕蟲(worm) 羊乳酪(feta) 如果(if) 如同(as)
ʂu,ʂ,u,45,震卦-static,離卦-dynamic,巽卦-static,震卦-static,震卦-static + 離卦-dynamic,巽卦-static + 震卦-static,mulberry_tree tree sycamore pine palm_tree birch oak twig,講述(tell) 數(count) 結束(finish) 熟(cooked) 輸(lose) 簽署(sign) 約束(restrain) 稀疏(sparse) 熟悉(familiar) 叔叔(uncle) 叔叔(uncle) 老鼠(mouse)
ʈ͡ʂu,ʈ͡ʂ,u,26,離卦-dynamic,震卦-static,坎卦-static,震卦-static + 離卦-dynamic,離卦-dynamic,坎卦-static + 離卦-dynamic,teacher consultant architect professor assistant company plant manager,幫助(help) 記住(remember) 註意(notice) 煮沸(boil) 專註(focus) 資助(fund) 豬(pig) 蜘蛛(spider) 山竹(mangosteen) 竹子(bamboo) 天竺葵(geranium) 金屬(metal)
ʈ͡ʂʰu,ʈ͡ʂʰ,u,17,離卦-dynamic,坎卦-dynamic,兌卦-dynamic,坎卦-dynamic + 離卦-dynamic,坤卦-static + 離卦-dynamic,離卦-dynamic,choose store remove find add cook manage handle,出(exit) 觸摸(touch) 去除(remove) 儲存(store) 溢出(spill) 處理(handle) 借出(lend) 刪除(delete) 出席(attend) 出名(famous) 杵(pestle) 廚房(kitchen)
u,∅,u,40,坤卦-dynamic,坤卦-static,艮卦-dynamic,坤卦-dynamic,坤卦-static + 坤卦-dynamic,坤卦-dynamic + 艮卦-dynamic,meal eat monkey thing food living_room whole breakfast,跳舞(dance) 服務(serve) 惡心(disgusted) 無聊(boring) 錯誤(wrong) 五(five) 十五(fifteen) 事物(thing) 動物(animal) 寵物(pet) 動物園(zoo) 哺乳動物(mammal)
kuan,k,uan,20,離卦-dynamic,坎卦-static,坎卦-dynamic,坎卦-static + 離卦-dynamic,離卦-dynamic + 兌卦-static,坎卦-static + 兌卦-dynamic,dentist pipe lawyer teacher plumber architect professor accountant,習慣(be used to) 關閉(close) 管理(manage) 灌溉(irrigate) 鰥夫(widower) 灌木叢(bush) 血管(vein) 關節(joints) 薩克斯管(saxophone) 管風琴(organ) 王冠(crown) 管道(pipe)
kʰuan,kʰ,uan,3,艮卦-static,震卦-static,中卦-static,艮卦-static + 中卦-static,中卦-static + 震卦-static,艮卦-static + 巽卦-static,wide width narrow flat maximum height lenient minimum,寬松(lenient) 寬(wide) 寬度(width)
luan,l,uan,1,乾卦-dynamic,中卦-dynamic,乾卦-static,艮卦-dynamic + 乾卦-dynamic,乾卦-dynamic,中卦-dynamic + 乾卦-dynamic,chaos chaotic conflict bustle fear magic storm paradox,混亂(chaos)
suan,s,uan,4,中卦-dynamic,兌卦-dynamic,乾卦-static,中卦-dynamic + 兌卦-dynamic,中卦-dynamic + 震卦-dynamic,中卦-static + 兌卦-dynamic,yogurt butter soy_sauce onion spinach pineapple feta celery,計算(calculate) 酸(sour) 大蒜(garlic) 酸奶(yogurt)
tuan,t,uan,5,艮卦-dynamic,震卦-dynamic,中卦-static,艮卦-dynamic + 中卦-static,艮卦-dynamic + 中卦-dynamic,艮卦-dynamic,short skirt length sock exercise stretch long phase,短(short) 短裙(skirt) 短襪(sock) 鍛煉(exercise) 階段(phase)
tʰuan,tʰ,uan,3,坎卦-static,震卦-static,離卦-dynamic,坎卦-static + 震卦-static,坎卦-static + 離卦-dynamic,中卦-dynamic + 震卦-static,team group base dough student camp join host,面團(dough) 團隊(team) 團體(group)
t͡suan,t͡s,uan,1,中卦-dynamic,離卦-static,艮卦-static,中卦-dynamic + 離卦-static,艮卦-static + 中卦-dynamic,中卦-dynamic,diamond gold silver jewel ring jade copper chip,鉆石(diamond)
xuan,x,uan,6,離卦-static,坎卦-static,中卦-dynamic,中卦-dynamic + 離卦-static,坎卦-static + 中卦-dynamic,坎卦-static + 離卦-static,like loop popular really waterfall magnet part volcano,喜歡(like) 受歡迎(popular) 耳環(earring) 環境(environment) 環(loop) 環形山(crater)
ɻuan,ɻ,uan,2,震卦-static,巽卦-static,坤卦-dynamic,巽卦-static + 震卦-static,坤卦-dynamic + 震卦-static,震卦-static + 乾卦-dynamic,cushion soft pillow foam warm rubber velvet flat,軟(soft) 軟墊(cushion)
ʈ͡ʂuan,ʈ͡ʂ,uan,6,離卦-dynamic,兌卦-dynamic,震卦-dynamic,坎卦-dynamic + 震卦-dynamic,震卦-dynamic + 離卦-dynamic,震卦-static + 兌卦-dynamic,turn get out take make create down bring,轉(turn) 專註(focus) 傳播(spread) 賺取(earn) 旋轉木馬(merry-go-round) 磚(brick)
ʈ͡ʂʰuan,ʈ͡ʂʰ,uan,5,艮卦-static,震卦-dynamic,兌卦-dynamic,艮卦-static + 震卦-dynamic,艮卦-static + 艮卦-dynamic,艮卦-static + 兌卦-dynamic,ship boat sea glacier coast swim dive whale,穿(wear) 穿透(penetrate) 冰川(glacier) 小船(boat) 大船(ship)
uan,∅,uan,18,艮卦-dynamic,坤卦-dynamic,坤卦-static,坤卦-dynamic + 艮卦-dynamic,坤卦-static + 艮卦-dynamic,艮卦-dynamic + 中卦-dynamic,round first second next minute perfect last time,玩(play) 彎曲(bend) 彎曲(curved) 完整(complete) 一貫(consistent) 晚(late) 完美(perfect) 萬(ten thousand) 百萬(million) 豌豆(pea) 萬壽菊(marigold) 晚餐(dinner)
kuaɪ,k,uaɪ,2,乾卦-static,中卦-dynamic,巽卦-static,中卦-dynamic + 乾卦-static,巽卦-static + 中卦-dynamic,巽卦-static + 乾卦-static,monster strange ghost odd crazy snake centipede dwarf,奇怪(strange) 怪物(monster)
kʰuaɪ,kʰ,uaɪ,3,艮卦-dynamic,坤卦-dynamic,坤卦-static,坤卦-dynamic + 震卦-dynamic,坤卦-static + 震卦-dynamic,坤卦-static + 艮卦-dynamic,hurry fast wait slow get hard difficult enough,趕快(hurry) 快(fast) 塊(lump)
xuaɪ,x,uaɪ,4,震卦-dynamic,兌卦-static,巽卦-static,震卦-dynamic + 兌卦-static,巽卦-static + 震卦-dynamic,震卦-dynamic,ankle knee pregnant leg hurt pain doubt doctor,懷疑(doubt) 懷孕(pregnant) 槐樹(locust tree) 腳踝(ankle)
ʂuaɪ,ʂ,uaɪ,1,震卦-static,坤卦-dynamic,震卦-dynamic,坤卦-dynamic + 震卦-static,震卦-static,震卦-static + 乾卦-dynamic,cricket badminton football tennis practise sport game ball,蟋蟀(cricket)
uaɪ,∅,uaɪ,5,坎卦-static,艮卦-static,坤卦-static,艮卦-static + 坎卦-static,坤卦-static + 坎卦-static,坎卦-static,outside out own inside cousin from one coat,外國(foreign) 外甥(nephew) 外套(coat) 向外(out) 外面(outside)
kueɪ,k,ueɪ,8,艮卦-dynamic,震卦-dynamic,中卦-static,艮卦-dynamic,艮卦-dynamic + 震卦-dynamic,艮卦-dynamic + 中卦-static,king devil cinnamon magic prince velvet shadow chocolate,跪(kneel) 昂貴(expensive) 玫瑰(rose) 肉桂(cinnamon) 衣櫃(wardrobe) 規則(rule) 魔鬼(devil) 鬼(ghost)
kʰueɪ,kʰ,ueɪ,3,巽卦-static,乾卦-static,坎卦-static,巽卦-static,巽卦-static + 乾卦-static,坎卦-static + 巽卦-static,geranium marigold sunflower hyacinth orchid daffodil camellia delphinium,海葵(sea anemone) 天竺葵(geranium) 向日葵(sunflower)
