Hungarian,Finnish,Greek,Russian,Sanskrit,German,Nahuatl,Spanish,Italian,French,Irish,Welsh,English,Chinese,Vietnamese,Japanese,Korean,Tibetan,Thai,Indonesian,Turkish,Swahili,Hindi,Iti,Ifi,French2,French3,Frnch,French4,Flinch
ívelt,kaareva,καμπύλο,изогнуто,,gebogen,,curvado,curvo,courbé,cuartha,crwm,curved,彎曲,cong,曲がっている,곡선입니다,,โค้ง,melengkung,kavisli,imepindika,घुमावदार,,,,,,,
éles,terävä,αιχμηρό,резкое,,scharf,,agudo,acuto,aigu,géar,miniog,sharp,尖銳,sắc nét,鋭い,날카 롭습니다,,คมชัด,tajam,keskin,mkali,शार्प,,,,,,,
tompa,tylsä,αμβλύ,тупо,,stumpf,,roma,schietto,émoussé,maol,pyler,blunt,鈍,cùn,鈍い,무딘입니다,,ทื่อ,tumpul,künt,blunt,कुंद,,,,,,,
sima,sileä,ομαλό,гладко,,glatt,,suave,liscio,lisse,mín,lyfnhaith,smooth,滑,mịn màng,滑らか,매끄 럽습니다,,ราบรื่น,halus,pürüzsüz,laini,चिकना,,,,,,,
kemény,karkea,τραχύ,грубо,,rau,,duro,ruvido,rugueux,garbh,garw,rough,粗糙,thô,粗っぽい,거칠다,,หยาบ,kasar,kaba,mbaya,अशिष्ट,,,,,,,
szorosan,tiukka,σφιχτό,плотно,,eng,,apretado,stretto,serré,teann,tyn,tight,緊,chặt chẽ,きつい,빡빡합니다,,แน่น,ketat,sıkı,ngumu,तंग,,,,,,,
laza,löysä,χαλαρό,свободно,,locker,,suelto,sciolto,lâche,scaoilte,llac,loose,松,lỏng lẻo,緩い,느슨합니다,,หลวม,longgar,gevşek,huru,ढीला,,,,,,,
szigorúan,tiukka,αυστηρό,строго,,streng,,estricto,severo,strict,dian,llymach,strict,嚴格,nghiêm ngặt,厳しい,엄격합니다,,เข้มงวด,ketat,sıkı,kali,सख्त,,,,,,,
elnéző,lempeä,επιεική,снисходительно,,milder,,indulgente,indulgente,indulgent,trócaireach,thrugarog,lenient,寬松,khoan dung,緩やか,그것은 관대합니다,,ผ่อนปรน,lunak,yumuşaktır,kufadhili,उदार,,,,,,,
gyér,harva,αραιό,скудно,,spärlich,,escaso,scarso,clairsemé,gann,nhrin,sparse,稀疏,thưa thớt,疎ら,드물다,,เบาบาง,jarang,seyrek,sparse,विरल,,,,,,,
sűrű,tiheä,πυκνό,плотно,,dicht,,denso,denso,dense,dlúth,drwchus,dense,密集,dày đặc,濃い,밀도가 높습니다,,หนาแน่น,padat,yoğun,mnene,घना,,,,,,,
tiszta,selvää,ξεκάθαρο,ясно,,allklar,,despejado,chiaro,clair,soiléir,gliria ’,clear,清澈,rõ ràng,明らか,분명합니다,,ที่ชัดเจน,jelas,açıktır,wazi,साफ,,,,,,,
zavaros,samea,θολό,мудро,,trübe,,turbio,torbido,trouble,moirtiúil,cymylog,turbid,渾濁,đục,濁っている,혼탁합니다,,ความขุ่น,keruh,bulanık,turbid,पंकिल,,,,,,,
elmosódott,epäselvä,θολή,размыто,,verschwommen,,borroso,sfocato,flou,doiléir,aneglur,blurry,模糊,mờ,模糊,흐릿합니다,,เบลอ,buram,bulanık,blurry,धुँधली,,,,,,,
fényt,kevyt,ελαφρύ,свет,,licht,,luz,chiaro,léger,séimh,henynni,light,淡,ánh sáng,薄い,그것은 가벼운다,,เบา,ringan,hafif,nyepesi,लाइट,,,,,,,
erősek,paksu,παχύ,густо,,dick,,grueso,denso,épais,láidir,chryfaf,strong,濃,dày,濃い,두껍습니다,,หนา,tebal,kalın,nene,दमदार,,,,,,,
fényt,kevyt,ελαφρύ,свет,,licht,,luz,chiaro,léger,éadrom,henynni,light,輕,ánh sáng,軽い,그것은 가벼운다,,เบา,ringan,hafif,nyepesi,लाइट,,,,,,,
nehéz,raskas,βαρύ,тяжело,,schwer,,pesado,pesante,lourd,trom,trwm,heavy,重,nặng quá,重い,무겁습니다,,หนัก,berat,ağır,nzito,भारी,,,,,,,
nagy,suuri,μεγάλο,большой,,groß,,grande,grande,grand,mór,fawr,big,大,to,大きい,그건 크다,,ใหญ่,besar,büyük,kubwa,बिग,,,,,,,
kicsi,pieni,ειναι μικρο,он мал,,klein,,pequeño,piccolo,petit,beag,bach,small,小,nhỏ,小さい,작습니다,,เล็ก,kecil,küçük,ndogo,छोटी,,,,,,,
hosszú,pitkä,μακρύ,долго,,lang,,largo,lungo,long,fada,hiraethasit,long,長,dài,長い,길다,,ยาว,panjang,uzun,ndefu,long,,,,,,,
röviden,lyhyt,σύντομο,короткое,,kurz,,corta,corto,court,gearr,brin,short,短,ngắn,短い,짧습니다,,สั้น,pendek,kısa,fupi,छोटी,,,,,,,
széles,leveä,ευρύ,широко,,breit,,ancho,ampio,large,leathan,lydan,wide,寬,rộng,広い,넓습니다,,กว้าง,luas,geniş,pana,चौड़ी,,,,,,,
keskeny,kapea,στενό,узкое,,eng,,estrecho,stretto,étroit,caol,gulhaiff,narrow,窄,hẹp,狭い,좁습니다,,แคบ,sempit,dar,nyembamba,सीमित,,,,,,,
vastag,paksu,παχύ,густо,,dick,,grueso,denso,épais,tiubh,o drwch,thick,厚,dày,厚い,두껍습니다,,หนา,tebal,kalın,nene,मोटा,,,,,,,
sovány,ohut,λεπτό,тонко,,dünn,,delgado,sottile,mince,tanaí,theneuaf,thin,薄,mỏng,薄い,얇습니다,,บาง,tipis,i̇nce,nyembamba,पतला,,,,,,,
kövér,rasvaa,λίπος,толстый,,fett,,gordo,grasso,gros,ramhar,braster,fat,胖,chất béo,太っている,그것은 뚱뚱합니다,,ไข,gemuk,şişman,mafuta,मोटे,,,,,,,
slim,ohut,λεπτό,стройно,,schlank,,delgado,magro,mince,caol,maich,slim,瘦,mỏng,痩せている,날씬합니다,,ผอม,ramping,i̇nce,nyembamba,पतला,,,,,,,
vastag,paksu,παχύ,густо,,dick,,grueso,denso,épais,tiubh,o drwch,thick,粗,dày,太い,두껍습니다,,หนา,tebal,kalın,nene,मोटा,,,,,,,
bírság,hieno,καλά,нормально,,in ordnung,,bien,va bene,fin,mín,dirwyed,fine,細,tốt,細い,그것은 괜찮습니다,,ไม่ไร,baik-baik saja,iyi,sawa,ठीक,,,,,,,
magas,pitkä,ψηλό,высокий,,groß,,alto,alto,grand,ard,dal,tall,高大,cao,背が高い,키가 크다,,สูง,tinggi,uzun,mrefu,लम्बा,,,,,,,
röviden,lyhyt,σύντομο,короткое,,kurz,,corta,corto,court,beag,brin,short,矮小,ngắn,背が低い,짧습니다,,สั้น,pendek,kısa,fupi,छोटी,,,,,,,
magasan,korkea,υψηλό,высоко,,hoch,,alto,alto,élevé,ard,high,high,高,cao,高い,높습니다,,สูง,tinggi,yüksek,juu,ऊँची,,,,,,,
alacsony,matala,χαμηλό,низко,,niedrig,,bajo,basso,bas,íseal,frefer,low,低,thấp,低い,낮습니다,,ต่ำ,rendah,düşük,chini,कम,,,,,,,
mély,syvä,βαθύ,глубоко,,tief,,profundo,profondo,profond,domhain,dyfnach,deep,深,sâu,深い,깊다,,ลึก,dalam,derin,kina,गहन,,,,,,,
sekély,matala,ρηχό,мелкое,,flach,,superficial,superficiale,superficiel,éadomhain,fas,shallow,淺,nông,浅い,얕습니다,,ตื้น,dangkal,sığ,kina,उथले,,,,,,,
messzire,kaukana,μακριά,далеко,,weit,,esta lejos,lontano,loin,i bhfad,bell,far,遠,xa,遠い,머 네요,,ไกล,jauh,uzak,mbali,दूर,,,,,,,
közel,lähellä,κοντά,рядом,,nah,,cerca,vicino,proche,gar,hagos,near,近,gần,近く,가까이 있습니다,,อยู่ใกล้,dekat,yakında,iko karibu,निकट,,,,,,,
kemény,vaikeaa,δύσκολο,трудно,,schwer,,difícil,difficile,difficile,deacair,nghaled,hard,硬,khó khăn,硬い,그것은 어렵다,,ยาก,susah,zor,ngumu,मुश्किल,,,,,,,
lágy,pehmeä,μαλακό,мягкое,,weich,,suave,morbido,doux,bog,meddal,soft,軟,mềm mại,柔らかい,부드럽습니다,,นุ่ม,lembut,yumuşak,laini,नरम,,,,,,,
száraz,kuiva,ξηρό,сухо,,trocken,,seco,asciutto,sec,tirim,sych,dry,幹,khô,乾いている,건조합니다,,แห้ง,kering,kuru,kavu,शुष्क,,,,,,,
nedves,märkä,βρεγμένο,мокрый,,nass,,mojado,bagnato,mouillé,fliuch,gwlychent,wet,濕,bị ướt,濡れている,젖습니다,,เปียก,basah,islak,mvua,गीला,,,,,,,
hideg,on kylmä,κρύο,холодно,,kalt,,hace frío,freddo,froid,fuar,holder,cold,冷,trời lạnh,寒い,추워,,หนาว,dingin,soğuk,baridi,ठंडा,,,,,,,
dögös,kuuma,ζεστό,горячо,,heiß,,hace calor,caldo,chaud,te,boethaf,hot,熱,nóng,暑い,뜨겁다,,ร้อน,panas,sıcak,moto,hot,,,,,,,
melegen,on lämmin,ζεστό,тепло,,warm,,hace calor,bollente,tiède,bogthe,cynheset,warm,溫,trời ấm,暖かい,따뜻합니다,,อบอุ่น,hangat,sıcak,joto,गरम,,,,,,,
menő,siistiä,ειναι ενταξει,круто,,cool,,genial,fresco,frais,fionnuar,cwl,cool,涼,mát mẻ,涼しい,멋지다,,เจ๋ง,keren,harika,baridi,कूल,,,,,,,
illatos,tuoksuva,αρωματικό,ароматно,,duftend,,fragante,fragrante,parfumé,cumhra,persawrus,fragrant,香,thơm,香ばしい,향기가납니다,,มีกลิ่นหอม,harum,kokulu,harufu nzuri,सुगंधित,,,,,,,
bűzös,haiseva,βρώμικο,вонюче,,stinkend,,apestoso,puzzolente,puant,bréan,drewllyd,stinky,臭,hôi thối,臭い,그것은 냄새입니다,,เหม็น,bau,kokmuş,kunuka,बदबूदार,,,,,,,
keserű,katkeraa,πικρό,горько,,bitter,,amargado,amaro,amer,searbh,chwerw,bitter,苦,cay đắng,苦い,쓴 맛,,ขม,pahit,acı,uchungu,कड़वा,,,,,,,
édes,makea,γλυκό,мило,,süß,,dulce,dolce,doux,milis,melysach,sweet,甜,thật ngọt ngào,甘い,달콤합니다,,หวาน,manis,tatlı,tamu,मीठी,,,,,,,
savanyú,hapan,ξινό,кислый,,sauer,,agrio,acido,aigre,géar,sur,sour,酸,chua,酸っぱい,신맛이납니다,,เปรี้ยว,asam,ekşi,tamu,खट्टा,,,,,,,
sós,suolaista,αλμυρό,солено,,salzig,,salado,salato,salé,goirt,hallt,salty,鹹,mặn,塩っぱい,그것은 짠다,,เค็ม,asin,tuzlu,chumvi,नमकीन,,,,,,,
csípős,mausteinen,πικάντικο,острый,,scharf,,picante,piccante,épicé,spíosach,sbeislyd,spicy,辣,cay,辛い,매운 맛,,เผ็ด,pedas,baharatlı,manukato,मसालेदार,,,,,,,
üresen,tyhjä,άδειο,пусто,,leer,,esta vacio,vuoto,vide,folamh,wacoch,empty,空,trống rỗng,空いている,비어 있습니다,,ว่างเปล่า,kosong,boş,tupu,खाली,,,,,,,
teljes,täynnä,γεμάτο,она полна,,voll,,lleno,pieno,plein,lán,phanner,full,滿,đầy đủ,一杯,가득 차 있습니다,,เต็ม,penuh,dolu,imejaa,पूरा,,,,,,,
törve,rikki,σπασμένο,сломано,,kaputt,,roto,rotto,cassée,briste,toredig,broken,破,bị hỏng,壊れている,고장났어,,แตก,rusak,kırık,imevunjika,टूटा,,,,,,,
teljessé,valmis,πλήρες,завершено,,vollständig,,completo,completo,complet,críochnaithe,chwblheir,complete,完整,được hoàn thành,完全,완료되었습니다,,สมบูรณ์,lengkap,tamamlandı,imekamilika,पूरा,,,,,,,
halottak,kuollut,νεκρό,мертв,,tot,,muerto,morto,mort,marbh,meirus,dead,死,đã chết,死んでいる,죽었다,,ตายแล้ว,sudah mati,öldü,imekufa,मुर्दे,,,,,,,
él,elossa,ζωντανός,живой,,leben,,viva,vivo,vivant,beo,fyw,alive,活,còn sống,生きている,살아 있는,,มีชีวิตอยู่,hidup,canlı,hai,जिंदा,,,,,,,
bonyolult,vaikeaa,δύσκολο,трудно,,schwierig,,difícil,difficile,difficile,deacair,anodd,difficult,難,khó khăn,難しい,가 어렵다,,ยาก,sulit,zor,ngumu,मुश्किल,,,,,,,
könnyű,helppoa,εύκολο,легко,,leicht,,fácil,facile,facile,éasca,haws,easy,容易,rất dễ dàng,易い,쉽습니다,,เรื่องง่าย,mudah,kolay,rahisi,आसान,,,,,,,
érzelem,tunne,συναισθημα,эмоция,,emotion,,emoción,emozione,émotion,mothúchán,emosiynau,emotion,情感,cảm xúc,感情,감정,,อารมณ์,emosi,duygu,hisia,जज्बात,,,,,,,
bús,surullista,λυπηρό,печально,,traurig,,triste,triste,triste,brónach,trist,sad,悲傷,thật là buồn,悲しい,슬프다,,เศร้า,sedih,üzücü,inasikitisha,उदास,,,,,,,
boldog,onnellinen,χαρούμενο,счастлива,,glücklich,,feliz,felice,joyeux,sásta,hapusaf,happy,開心,hạnh phúc,楽しい,행복합니다,,มีความสุข,senang,mutlu,furaha,प्रसन्न,,,,,,,
izgatott,innoissaan,ενθουσιασμένος,взволнованный,,aufgeregt,,entusiasmado,eccitato,excité,bí sceitimíní ar,gyffrous,excited,興奮,hào hứng,興奮する,흥분한,,ตื่นเต้น,bersemangat,heyecanlı,inafurahishwa,उत्साहित,,,,,,,
ideges,hermostunut,νευρικός,нервный,,nervös,,nervioso,nervoso,nerveux,néarógach,nerfus,nervous,緊張,lo lắng,緊張する,불안한,,ประหม่า,grogi,gergin,neva,बेचैन,,,,,,,
felháborodott,inhoa,αηδιασμένο,противно,,angewidert,,disgustado,disgustato,dégoûté,déistineach,ffiaidd,disgusted,惡心,ghê tởm,気持ち悪い,혐오감이 있습니다,,น่ารังเกียจ,jijik,tiksinti,inachukizwa,निराश,,,,,,,
meglepve,yllättynyt,έκπληκτος,удивлено,,überrascht,,se sorprende,sorpreso,surpris,bí ionadh ar,suro,surprised,驚訝,ngạc nhiên,驚いている,놀랐습니다,,ประหลาดใจ,terkejut,şaşırdı,inashangaa,चकित,,,,,,,
szégyellem,häpeä,ντρέπεται,стыдно,,schäme sich,,se avergüenza,si vergogna,embarassé,bí náire ar,gywilyddiant,ashamed,尷尬,xấu hổ,恥ずかしい,부끄럽습니다,,ละอายใจ,malu,utanıyor,aibu,शर्म,,,,,,,
mérges,vihainen,θυμωμένο,злится,,wütend,,enojado,arrabbiato,en colère,feargach,ngwyllt,angry,憤怒,thật tức giận,怒っている,화가 난다,,โกรธ,marah,kızgın,hasira,एंग्री,,,,,,,
irigy,mustasukkainen,ζηλιάρης,ревнивый,,eifersüchtig,,celoso,geloso,jaloux,éadmhar,cenfigennus,jealous,嫉妒,ghen tị,嫉妬する,질투하는,,อิจฉา,cemburu,kıskanç,wivu,ईर्ष्या,,,,,,,
kíváncsi,utelias,περίεργος,любопытный,,neugierig,,curioso,curioso,curieuse,fiosrach,chwilfrydig,curious,好奇,tò mò,物好き,궁금한,,อยากรู้,penasaran,meraklı,curious,जिज्ञासु,,,,,,,
vicces,hauskaa,αστείο,смешно,,lustig,,gracioso,buffo,drôle,greannmhar,nigrif,funny,好笑,buồn cười,ウケる,재밌습니다,,ตลก,lucu,eğlenceli,kuchekesha,मजेदार,,,,,,,
érdekes,kiinnostavaa,ενδιαφέρον,интересно,,interessant,,interesante,interessante,intéressant,suimiúil,diddorol,interesting,有趣,thú vị,面白い,흥미 롭습니다,,น่าสนใจ,menarik,ilginç,inavutia,दिलचस्प,,,,,,,
unalmas,tylsä,βαρετό,скучный,,langweilig,,aburrido,noioso,ennuyeux,leadránach,ddiflas,boring,無聊,nhạt nhẽo,つまらない,지루한,,น่าเบื่อ,membosankan,sıkıcı,boring,उबाऊ,,,,,,,
furcsa,outoa,ειναι παραξενο,странно,,seltsam,,extraño,strano,étrange,aisteach,ryfedd,strange,奇怪,lạ,おかしい,그것은 이상해,,แปลกประหลาด,aneh,garip,kushangaza,अजीब,,,,,,,
hétköznapi,tavallista,συνηθισμένο,обычное,,gewöhnlich,,ordinario,ordinario,ordinaire,gnáth,gyffredin,ordinary,正常,bình thường,普通,평범합니다,,เรื่องธรรมดา,biasa,sıradan,kawaida,साधारण,,,,,,,
gyakori,yleistä,σύνηθες,обычно,,üblich,,común,comune,courant,coitianta,gyffredin,common,常見,phổ biến,一般,일반적입니다,,เรื่องธรรมดา,umum,bilinir,kawaida,आम,,,,,,,
ritka,harvinaista,σπάνιο,редкость,,selten,,extraño,raro,rare,annamh,prin,rare,稀有,hiếm,珍しい,드물다,,หายาก,langka,nadirdir,nadra,विरल,,,,,,,
híresség,kuuluisa,διάσημο,знаменито,,berühmt,,famoso,famoso,célèbre,cáiliúil,enwog,famous,出名,nổi tiếng,有名,유명합니다,,มีชื่อเสียง,terkenal,ünlüdür,maarufu,प्रसिद्ध,,,,,,,
gyönyörű,kaunis,όμορφο,красиво,,schön,,hermoso,bella,beau,álainn,harddaf,beautiful,美麗,thật đẹp,美しい,그것은 아름다운,,สิ่งที่สวยงาม,indah,güzel,nzuri,खूबसूरत,,,,,,,
csúf,ruma,άσχημο,уродливо,,hässlich,,feo,brutto,moche,gránna,hyll,ugly,醜陋,xấu xí,醜い,추악합니다,,น่าเกลียด,jelek,çirkin,mbaya,भद्दा,,,,,,,
bűnös,syyllinen,ένοχος,виновный,,schuldig,,culpable,colpevole,coupable,ciontach,euog,guilty,有罪,tội lỗi,有罪,죄책감이 드는,,รู้สึกผิด,bersalah,suçlu,hatia,अपराधी,,,,,,,
ártatlanok,viaton,αθώος,невиновный,,unschuldig,,inocente,innocente,innocent,neamhchiontach,niniwed,innocent,清白,vô tội,無罪,순결한,,ผู้บริสุทธิ์,tidak bersalah,masum,wasio na hatia,निर्दोष,,,,,,,
biztonság,turvallinen,ασφαλές,безопасно,,sicher,,seguro,sicuro,sauf,sábháilte,diogel,safe,安全,an toàn rồi,安全,그것은 안전하다,,มีความปลอดภัย,aman,güvenli,salama,सुरक्षित,,,,,,,
veszélyes,vaarallista,επικίνδυνο,опасно,,gefährlich,,peligroso,pericoloso,dangereux,contúirteach,beryglus,dangerous,危險,nguy hiểm,危険,위험 해요,,อันตราย,berbahaya,tehlikeli,hatari,खतरनाक,,,,,,,
fontos,tärkeä,σπουδαίος,важный,,wichtig,,importante,importante,important,tábhachtach,bwysig,important,重要,quan trọng,重要,중요한,,สำคัญ,penting,önemli,muhimu,महत्वपूर्ण,,,,,,,
beteg,potilas,υπομονετικος,пациент,,geduldig,,paciente,paziente,patient,foighneach,claf,patient,耐心,kiên nhẫn,根気強い,인내심 있는,,อดทน,sabar,hasta,mgonjwa,रोगी,,,,,,,
bátor,urhea,γενναίος,храбрый,,mutig,,corajudo,coraggioso,courageux,cróga,ddewr,brave,勇敢,can đảm,勇ましい,용감한,,กล้าหาญ,berani,cesur,jasiri,वीर,,,,,,,
félénk,arka,συνεσταλμένος,робкий,,schüchtern,,tímido,timido,timide,eaglach,mysgota,timid,膽小,nhút nhát,びびっている,소심한,,ขี้ขลาด,pemalu,ürkek,odid,डरपोक,,,,,,,
átlátható,läpinäkyvä,διαφανής,прозрачный,,transparent,,transparente,trasparente,transparent,trédhearcach,tryloyw,transparent,透明,trong suốt,透明,투명한,,โปร่งใส,transparan,şeffaf,uwazi,पारदर्शी,,,,,,,
pozitív,positiivinen,θετικός,положительный,,positiv,,positivo,positivo,positif,dearfach,cadarnhaol,positive,積極,tích cực,積極,긍정적인,,เชิงบวก,positif,pozitif,chanya,धनात्मक,,,,,,,
negatív,kielteinen,αρνητικός,отрицательный,,negativ,,negativo,negativo,négatif,diúltach,negyddol,negative,消極,tiêu cực,消極,부정적인,,เชิงลบ,negatif,olumsuz,hasi,ऋणात्मक,,,,,,,
függetlenek,riippumaton,ανεξάρτητος,независимый,,unabhängig,,independiente,indipendente,indépendant,neamhspleách,annibynnol,independent,獨立,độc lập,独立,독립적인,,เป็นอิสระ,mandiri,bağımsız,huru,स्वतंत्र,,,,,,,
függő,riippuvainen,εξαρτώμενος,зависимый,,abhängig,,dependiente,dipendente,dépendant,spleách,dibynnol,dependent,依賴,sự phụ thuộc,依存,매달린,,ขึ้นอยู่กับ,bergantung,bağımlı,tegemezi,निर्भर,,,,,,,
meztelen,alasti,γυμνός,голый,,nackt,,desnudo,nudo,nu,nocht,noethed,naked,裸體,khỏa thân,裸,적나라한,,เปลือยกาย,telanjang,çıplak,uchi,नग्न,,,,,,,
puszta,paljas,γυμνός,голый,,kahl,,desnudo,spoglio,nu,lom,noethaf,bare,光禿禿,trần,禿げっている,없는,,เปลือย,telanjang,çıplak,wazi,bare,,,,,,,
ismerős,tuttu,οικείος,привычный,,vertraut,,familiar,familiare,familier,aithnidiúil,cyfarwydd,familiar,熟悉,thân thuộc,馴染み深い,친숙한,,คุ้นเคย,akrab,aşina,kawaida,परिचित,,,,,,,
furcsa,outo,παράξενος,странный,,seltsam,,extraño,strano,étrange,coimhthíoch,ryfedd,strange,陌生,lạ lùng,見知らぬ,이상한,,แปลก,aneh,garip,ajabu,अजीब,,,,,,,
véletlen,satunnainen,τυχαίος,случайный,,willkürlich,,aleatorio,casuale,aléatoire,randamach,hap,random,隨機,ngẫu nhiên,ランダム,무작위의,,แบบสุ่ม,acak,rastgele,bila mpangilio,यादृच्छिक,,,,,,,
istálló,vakaa,σταθερός,стабильный,,stabil,,estable,stabile,écurie,seasmhach,sefydlog,stable,穩定,ổn định,安定,안정적인,,มั่นคง,stabil,stabil,thabiti,स्थिर,,,,,,,
következetes,johdonmukainen,σταθερός,последовательный,,konsistent,,coherente,coerente,cohérent,comhsheasmhach,gyson,consistent,一貫,nhất quán,一貫している,일관된,,สม่ำเสมอ,konsisten,tutarlı,thabiti,सतत,,,,,,,
önkényes,mielivaltainen,αυθαίρετος,произвольный,,willkürlich,,arbitrario,arbitrario,arbitraire,treallach,mympwyol,arbitrary,任意,bất kỳ,勝手,임의,,โดยพลการ,sewenang -wenang,keyfi,ya kiholela,मनमानी,,,,,,,
bizonyos,tietty,βέβαιος,определенный,,bestimmt,,cierto,certo,certain,áirithe,sicraf,certain,肯定,chắc chắn,確定,확실한,,แน่ใจ,yakin,kesin,fulani,निश्चित,,,,,,,
hozzávetőlegesen,lähentää,κατά προσέγγιση,приблизительно,,ungefähr,,aproximado,approssimativo,approximatif,gar,iau,approximate,近似,gần đúng,近似,근사치를 내다,,ประมาณ,perkiraan,yaklaşık,takriban,सन्निकट,,,,,,,
precíz,tarkka,ακριβής,точный,,präzise,,preciso,preciso,précis,beacht,fanwl gywir,precise,精確,chính xác,精確,정밀한,,แม่นยำ,tepat,kesin,sahihi,एकदम सही,,,,,,,
furcsa,outo,περιττός,странный,,seltsam,,extraño,strano,impair,corr,rhyfedd,odd,奇,số lẻ,奇数,이상한,,แปลก,aneh,garip,isiyo ya kawaida,विषम,,,,,,,
még,jopa,ακόμη και,даже,,selbst,,incluso,anche,même,cothrom,hyd yn oed,even,偶,thậm chí,偶数,심지어,,สม่ำเสมอ,bahkan,eşit,hata,भी,,,,,,,
szingli,yksittäinen,μονόκλινο,одинокий,,einzel,,soltero,separare,seul,amháin,sengl,single,單,đơn,単,하나의,,เดี่ยว,lajang,bekar,moja,सिंगल,,,,,,,
duplán,kaksinkertainen,διπλό,двойной,,doppelt,,doble,doppio,double,dúbailte,dyblwch,double,雙,gấp đôi,双,더블,,สองเท่า,dobel,çift,mara mbili,दोगुना,,,,,,,
jó,hyvää,καλό,хорошо,,gut,,bueno,buono,bon,maith,da,good,好,tốt,良い,좋습니다,,ดี,baik,iyi,nzuri,शुभ,,,,,,,
rossz,huono,ειναι κακο,плохо,,schlecht,,malo,cattivo,mauvais,dona,bam,bad,壞,điều đó thật tồi tệ,悪い,나쁘다,,ไม่ดี,buruk,kötü,mbaya,ख़राब,,,,,,,
korrekt,oikein,σωστό,верно,,richtig,,correcto,corretto,correct,ceart,gywirer,correct,正確,đung vậy,正しい,맞습니다,,ถูกต้อง,benar,doğru,sahihi,सही,,,,,,,
helytelen,väärin,λάθος,неверно,,falsch,,mal,sbagliato,faux,mícheart,anweddus,wrong,錯誤,sai,誤っている,틀렸어,,ผิด,salah,yanlış,makosa,ग़लत,,,,,,,
igazi,totta,αλήθεια,правда,,stimmt,,verdad,vero,vrai,fíor,gwir,TRUE,真實,đúng rồi,真,그건 진실이야,,ความจริง,benar,doğru,kweli,सच्चा,,,,,,,
hamis,väärä,ψευδές,ложное,,ist falsch,,falso,falso,faux,bréagach,anwir,FALSE,虛假,sai rồi,偽,거짓입니다,,เท็จ,salah,yanlış,uwongo,गलत,,,,,,,
új,uusi,ειναι καινουργιο,новое,,neu,,nuevo,nuovo,nouveau,nua,newydd,new,新,cai nay moi,新しい,새로운 것입니다,,ใหม่,baru,yeni,mpya,नई,,,,,,,
régiek,vanha,παλιό,старое,,alt,,viejo,vecchio,vieux,sean,hŷn,old,舊,cũ,古い,오래되었습니다,,เก่า,sudah tua,eski,zamani,बूढ़ा,,,,,,,
régiek,vanha,παλιό,старое,,alt,,viejo,vecchio,vieux,sean,hŷn,old,老,cũ,老いている,오래되었습니다,,เก่า,sudah tua,eski,zamani,बूढ़ा,,,,,,,
fiatalos,nuori,νέος,молодо,,jung,,joven,giovane,jeune,óg,ifanc,young,年輕,trẻ,若い,젊습니다,,ยังเด็ก,muda,genç,mchanga,यंग,,,,,,,
erősek,vahva,δυνατό,сильное,,stark,,fuerte,forte,fort,láidir,chryfaf,strong,強,mạnh,強い,강하다,,แข็งแกร่ง,kuat,güçlü,nguvu,दमदार,,,,,,,
gyengék,heikko,αδύναμο,слаб,,schwach,,débil,debole,faible,lag,gwanach,weak,弱,yếu,弱い,약합니다,,อ่อนแอ,lemah,zayıf,dhaifu,कमजोर,,,,,,,
betegek,sairas,άρρωστο,больно,,krank,,enfermo,malato,malade,tinn,sâl,sick,病,bị bệnh,病んでいる,아프다,,ป่วย,sakit,hasta,mgonjwa,बीमार,,,,,,,
egészséges,terveellistä,υγιές,полезно,,gesund,,saludable,salutare,sain,sláintiúil,iach,healthy,健康,lành mạnh,健やか,건강합니다,,มีสุขภาพดี,menyehatkan,sağlıklı,afya,स्वस्थ,,,,,,,
ugyanaz,sama,το ίδιο,то же самое,,das ist gleich,,lo mismo,lstesso,pareil,céanna,yr un peth,same,同,giống nhau,同じ,동일합니다,,เหมือนกัน,sama,aynı,sawa,वही,,,,,,,
egyenlő,yhtä suuri,ίσος,равный,,gleich,,igual,pari,égal,céanna,gyfartal,equal,平等,bình đẳng,同等,동일한,,เท่ากัน,setara,eşit,sawa,बराबर,,,,,,,
igazságos,kohtuullinen,έκθεση,справедливый,,gerecht,,justo,giusto,équitable,cothrom,nheg,fair,公平,hội chợ,公平,공정한,,ยุติธรรม,adil,adil,haki,मेला,,,,,,,
eltérő,erilainen,διαφορετικό,отличается,,anders,,diferente,diverso,différent,difriúil,gwahanol,different,異,khác nhau,異なっている,다릅니다,,แตกต่างกัน,berbeda,farklı,tofauti,अलग,,,,,,,
gyors,nopea,ειναι γρηγορο,быстро,,schnell,,rápido,veloce,rapide,tapa,ymprydion,fast,快,nhanh,速い,빠릅니다,,เร็ว,cepat,hızlı,haraka,तेज़,,,,,,,
lassan,hidasta,αργή,медленно,,langsam,,lento,lento,lent,mall,arafwch,slow,慢,chậm,遅い,느린다,,ช้า,lambat,yavaş,polepole,slow,,,,,,,
korai,on aikaista,νωρίς,рано,,früh,,temprano,presto,tôt,luath,gynnar,early,早,sớm,早い,일찍 다,,เร็ว,awal,erken,mapema,जल्दी,,,,,,,
késve,on myöhä,αργά,поздно,,spät,,tarde,tardi,tard,déanach,hwyr,late,晚,muộn,遅い,늦었다,,สาย,sudah terlambat,geç oldu,imechelewa,लेट,,,,,,,
