concept_id,english,language,ours,verdict,suggested,confidence,note,also_flagged,strength
364,fine,Spanish,bien,wrong_sense,fino,high,means well,-,llm_only
380,cool,Spanish,genial,wrong_sense,fresco,high,means great,-,llm_only
441,odd,Spanish,extraño,wrong_sense,impar,high,means strange,-,llm_only
179,bark,Swahili,kwa gome,wrong_sense,kubweka,high,means with tree bark,-,llm_only
188,like,Swahili,kupenda,wrong_sense,kufanana,med,this sense is resemble,-,llm_only
193,swing,Swahili,kwa swing,untranslated,kupembea,high,English swing embedded,-,llm_only
407,curious,Swahili,curious,untranslated,mdadisi,high,English left as-is,-,llm_only
409,boring,Swahili,boring,untranslated,-a kuchosha,high,English left as-is,-,llm_only
512,sober,Swahili,sober,untranslated,mwenye kiasi,high,English left as-is,-,llm_only
538,I,Swahili,i,untranslated,mimi,high,English left as-is,-,llm_only
542,it,Swahili,it,untranslated,,low,English left as-is,-,llm_only
550,who,Swahili,who,untranslated,nani,high,English left as-is,-,llm_only
188,like,Thai,ที่ชื่นชอบ,wrong_sense,คล้าย,med,this sense is resemble,-,llm_only
349,light,Thai,เบา,wrong_sense,อ่อน,med,means light in weight,-,llm_only
380,cool,Thai,เจ๋ง,wrong_sense,เย็น,med,means awesome,-,llm_only
25,repeat,Turkish,tekrarlamak için,phrase,tekrarlamak,med,means in order to repeat,-,llm_only
188,like,Turkish,beğenmek,wrong_sense,benzemek,high,this sense is resemble,-,llm_only
249,train,Turkish,trene,wrong_sense,eğitmek,high,means to the train dative,-,llm_only
314,reap,Turkish,yaratmak için,wrong_sense,biçmek,high,means in order to create,-,llm_only
188,like,Vietnamese,thích,wrong_sense,giống,med,this sense is resemble,-,llm_only
349,light,Vietnamese,ánh sáng,wrong_sense,nhạt,med,noun illumination,-,llm_only
351,light,Vietnamese,ánh sáng,wrong_sense,nhẹ,med,noun illumination,-,llm_only
461,fair,Vietnamese,hội chợ,wrong_sense,công bằng,med,means trade fair,-,llm_only
533,brown,Vietnamese,no co mau nâu,phrase,nâu,med,sentence it has brown color,-,llm_only
332,slanted,Welsh,slanted,untranslated,ar oleddf,high,English left as-is,-,llm_only
